cluster_number	str_id_MAPPER	total_str_LISTER	tot_hous_LISTER	longitude	latitude
999999	1	2	300	40.133440772716	-3.21234578965294
999999	2	2	300	40.1335737423015	-3.21479154251722
999999	3			40.132856469716	-3.21644002320421
999999	4			40.131692593445	-3.21511583401042
999999	5			40.1308941201894	-3.21627787768103
999999	6			40.130393382724	-3.21385920389999
999999	7			40.1314219245448	-3.21169725600273
999999	8			40.1300009128187	-3.21145403657777
999999	9			40.1283203964173	-3.21225125558773
999999	10			40.1285369315374	-3.2151698825826
999999	11			40.1272918545965	-3.21621031703875
999999	12			40.1269805853612	-3.21311603482682
999999	13			40.1261007224844	-3.21115336675959
999999	14			40.1248285786534	-3.21101824479202
999999	15			40.1237323696076	-3.21132902529069
999999	16			40.1250315803286	-3.21309912110985
999999	17			40.1261277893745	-3.21477462882804
999999	18			40.1274405335405	-3.21440980076888
999999	19			40.1289977482725	-3.21639948146517
999999	20			40.1300533569834	-3.21515636507916
999999	21			40.1290383486076	-3.21384568637919
999999	22			40.1280910074568	-3.21571036278619
999999	23			40.1279556730067	-3.21117027514809
999999	24			40.131535111443	-3.21268363993818
999999	25			40.1316528852075	-3.20953541527747
999999	26			40.1326814270283	-3.20988673286597
999999	27			40.133561100954	-3.21077853850952
999999	28			40.1346932472685	-3.21408358498735
999999	29			40.132717364297	-3.21351607423238
999999	30			40.1352210516239	-3.21203807500877
999999	31			40.1343549111433	-3.21542128766075
999999	32			40.1341348718571	-3.21731882439102
999999	33			40.1320642547704	-3.21711614265774
999999	34			40.1312387146248	-3.21719721535589
999998	1	2	200	40.1331707809074	-3.21137534592572
999998	2	2	200	40.1336837653437	-3.21377449679464
999998	3			40.1339807563331	-3.2160927720508
999998	4			40.132333806301	-3.21579624876541
999998	5			40.1314968316945	-3.21377449679464
999998	6			40.1290939045985	-3.21587711876089
999998	7			40.1289589086942	-3.21328927572551
999998	8			40.1272039619387	-3.21482580831952
999998	9			40.1301354095791	-3.21397806938232
999998	10			40.1305069506819	-3.21264871729761
999998	11			40.1307258109736	-3.21551705212653
999998	12			40.1287048183738	-3.21659016903823
999998	13			40.1276605332154	-3.21625676411135
999998	14			40.12853666292	-3.21464344647777
999998	15			40.1270355472962	-3.21318466280569
999998	16			40.1257566228498	-3.21266382416948
999998	17			40.1253106086265	-3.21138795625518
999998	18			40.1266924969486	-3.21081772066509
999998	19			40.1241572662804	-3.21127359059115
999998	20			40.1246245051951	-3.21259001731839
999998	21			40.1252040109744	-3.21407289736395
999998	22			40.1232953399257	-3.21145019103033
999998	23			40.1265121561804	-3.21571519127588
999998	24			40.1271847792428	-3.21701704124549
999998	25			40.1298835270614	-3.21689044494994
999998	26			40.1300198837837	-3.2169921182571
999998	27			40.1317333218727	-3.21692819758015
999998	28			40.1325396751587	-3.2170859511305
999998	29			40.1338491897134	-3.21716310092004
999998	30			40.1348610100547	-3.21690900858894
999998	31			40.1344999616725	-3.21492977203772
999998	32			40.1348919219192	-3.21394575283879
999998	33			40.1346627709778	-3.21282583190301
999998	34			40.1326683669667	-3.21294414528204
999998	35			40.1325230916813	-3.21435776499228
999998	36			40.1332577945458	-3.20971080361896
999998	37			40.1319678734488	-3.20991394989982
999998	38			40.1309472214641	-3.21017326560611
999998	39			40.1300849535765	-3.21095726460885
999998	40			40.1315508300562	-3.21142925949032
999998	41			40.1293368972262	-3.21151012983188
999998	42			40.1276629480133	-3.21148317305206
